Year,Nominee,Movie,Winner
1970,Jack Nicholson,Five Easy Pieces,False
1970,Ryan O'Neal,Love Story,False
1971,Gene Hackman ‡,The French Connection,True
1971,Peter Finch,Sunday Bloody Sunday,False
1971,Walter Matthau,Kotch,False
1971,George C. Scott,The Hospital,False
1971,Topol,Fiddler on the Roof,False
1972,Marlon Brando §,The Godfather,True
1972,Michael Caine,Sleuth,False
1972,Laurence Olivier,,False
1972,Peter O'Toole,The Ruling Class,False
1972,Paul Winfield,Sounder,False
1973,Jack Lemmon ‡,Save the Tiger,True
1973,Marlon Brando,Last Tango in Paris,False
1973,Jack Nicholson,The Last Detail,False
1973,Al Pacino,Serpico,False
1973,Robert Redford,The Sting,False
1974,Art Carney ‡,Harry and Tonto,True
1974,Albert Finney,Murder on the Orient Express,False
1974,Dustin Hoffman,Lenny,False
1974,Jack Nicholson,Chinatown,False
1974,Al Pacino,The Godfather Part II,False
1975,Jack Nicholson ‡,One Flew Over the Cuckoo's Nest,True
1975,Walter Matthau,The Sunshine Boys,False
1975,Al Pacino,Dog Day Afternoon,False
1975,Maximilian Schell,The Man in the Glass Booth,False
1975,James Whitmore,"Give 'em Hell, Harry!",False
1976,Peter Finch †,Network,True
1976,Robert De Niro,Taxi Driver,False
1976,Giancarlo Giannini,Seven Beauties,False
1976,William Holden,Network,False
1976,Sylvester Stallone,Rocky,False
1977,Richard Dreyfuss ‡,The Goodbye Girl,True
1977,Woody Allen,Annie Hall,False
1977,Richard Burton,Equus,False
1977,Marcello Mastroianni,A Special Day,False
1977,John Travolta,Saturday Night Fever,False
1978,Jon Voight ‡,Coming Home,True
1978,Warren Beatty,Heaven Can Wait,False
1978,Gary Busey,The Buddy Holly Story,False
1978,Robert De Niro,The Deer Hunter,False
1978,Laurence Olivier,The Boys from Brazil,False
1979,Dustin Hoffman ‡,Kramer vs. Kramer,True
1979,Jack Lemmon,The China Syndrome,False
1979,Al Pacino,...And Justice for All,False
1979,Roy Scheider,All That Jazz,False
1979,Peter Sellers,Being There,False
1980,Robert De Niro ‡,Raging Bull,True
1980,Robert Duvall,The Great Santini,False
1980,John Hurt,The Elephant Man,False
1980,Jack Lemmon,Tribute,False
1980,Peter O'Toole,The Stunt Man,False
1981,Henry Fonda ‡,On Golden Pond,True
1981,Warren Beatty,Reds,False
1981,Burt Lancaster,Atlantic City,False
1981,Dudley Moore,Arthur,False
1981,Paul Newman,Absence of Malice,False
1982,Ben Kingsley ‡,Gandhi,True
1982,Dustin Hoffman,Tootsie,False
1982,Jack Lemmon,Missing,False
1982,Paul Newman,The Verdict,False
1982,Peter O'Toole,My Favorite Year,False
1983,Robert Duvall ‡,Tender Mercies,True
1983,Michael Caine,Educating Rita,False
1983,Tom Conti,"Reuben, Reuben",False
1983,Tom Courtenay,The Dresser,False
1983,Albert Finney,,False
1984,F. Murray Abraham ‡,Amadeus,True
1984,Jeff Bridges,Starman,False
1984,Albert Finney,Under the Volcano,False
1984,Tom Hulce,Amadeus,False
1984,Sam Waterston,The Killing Fields,False
1985,William Hurt ‡,Kiss of the Spider Woman,True
1985,Harrison Ford,Witness,False
1985,James Garner,Murphy's Romance,False
1985,Jack Nicholson,Prizzi's Honor,False
1985,Jon Voight,Runaway Train,False
1986,Paul Newman ‡,The Color of Money,True
1986,Dexter Gordon,Round Midnight,False
1986,Bob Hoskins,Mona Lisa,False
1986,William Hurt,Children of a Lesser God,False
1986,James Woods,Salvador,False
1987,Michael Douglas ‡,Wall Street,True
1987,William Hurt,Broadcast News,False
1987,Marcello Mastroianni,Dark Eyes,False
1987,Jack Nicholson,Ironweed,False
1987,Robin Williams,"Good Morning, Vietnam",False
1988,Dustin Hoffman ‡,Rain Man,True
1988,Gene Hackman,Mississippi Burning,False
1988,Tom Hanks,Big,False
1988,Edward James Olmos,Stand and Deliver,False
1988,Max von Sydow,Pelle the Conqueror,False
1989,Daniel Day-Lewis ‡,My Left Foot,True
1989,Kenneth Branagh,Henry V,False
1989,Tom Cruise,Born on the Fourth of July,False
1989,Morgan Freeman,Driving Miss Daisy,False
1989,Robin Williams,Dead Poets Society,False
1990,Jeremy Irons ‡,Reversal of Fortune,True
1990,Kevin Costner,Dances With Wolves,False
1990,Robert De Niro,Awakenings,False
1990,Gérard Depardieu,Cyrano de Bergerac,False
1990,Richard Harris,The Field,False
1991,Anthony Hopkins ‡,The Silence of the Lambs,True
1991,Warren Beatty,Bugsy,False
1991,Robert De Niro,Cape Fear,False
1991,Nick Nolte,The Prince of Tides,False
1991,Robin Williams,The Fisher King,False
1992,Al Pacino ‡,Scent of a Woman,True
1992,Robert Downey Jr.,Chaplin,False
1992,Clint Eastwood,Unforgiven,False
1992,Stephen Rea,The Crying Game,False
1992,Denzel Washington,Malcolm X,False
1993,Tom Hanks ‡,Philadelphia,True
1993,Daniel Day-Lewis,In the Name of the Father,False
1993,Laurence Fishburne,What's Love Got to Do with It,False
1993,Anthony Hopkins,The Remains of the Day,False
1993,Liam Neeson,Schindler's List,False
1994,Tom Hanks ‡,Forrest Gump,True
1994,Morgan Freeman,The Shawshank Redemption,False
1994,Nigel Hawthorne,The Madness of King George,False
1994,Paul Newman,Nobody's Fool,False
1994,John Travolta,Pulp Fiction,False
1995,Nicolas Cage ‡,Leaving Las Vegas,True
1995,Richard Dreyfuss,Mr. Holland's Opus,False
1995,Anthony Hopkins,Nixon,False
1995,Sean Penn,Dead Man Walking,False
1995,Massimo Troisi †,Il Postino: The Postman,False
1996,Geoffrey Rush ‡,Shine,True
1996,Tom Cruise,Jerry Maguire,False
1996,Ralph Fiennes,The English Patient,False
1996,Woody Harrelson,The People vs. Larry Flynt,False
1996,Billy Bob Thornton,Sling Blade,False
1997,Jack Nicholson ‡,As Good as It Gets,True
1997,Matt Damon,Good Will Hunting,False
1997,Robert Duvall,The Apostle,False
1997,Peter Fonda,Ulee's Gold,False
1997,Dustin Hoffman,Wag the Dog,False
1998,Roberto Benigni ‡,Life Is Beautiful,True
1998,Tom Hanks,Saving Private Ryan,False
1998,Ian McKellen,Gods and Monsters,False
1998,Nick Nolte,Affliction,False
1998,Edward Norton,American History X,False
1999,Kevin Spacey ‡,American Beauty,True
1999,Russell Crowe,The Insider,False
1999,Richard Farnsworth,The Straight Story,False
1999,Sean Penn,Sweet and Lowdown,False
1999,Denzel Washington,The Hurricane,False
2000,Russell Crowe ‡,Gladiator,True
2000,Javier Bardem,Before Night Falls,False
2000,Tom Hanks,Cast Away,False
2000,Ed Harris,Pollock,False
2000,Geoffrey Rush,Quills,False
2001,Denzel Washington ‡,Training Day,True
2001,Russell Crowe,A Beautiful Mind,False
2001,Sean Penn,I Am Sam,False
2001,Will Smith,Ali,False
2001,Tom Wilkinson,In the Bedroom,False
2002,Adrien Brody ‡,The Pianist,True
2002,Nicolas Cage,Adaptation.,False
