Year,Title,Winner
1967(40th),Doctor Dolittle,FALSE
1967(40th),The Graduate,FALSE
1967(40th),Guess Who's Coming to Dinner,FALSE
1968(41st),Oliver!,TRUE
1968(41st),Funny Girl,FALSE
1968(41st),The Lion in Winter,FALSE
1968(41st),"Rachel, Rachel",FALSE
1968(41st),Romeo and Juliet,FALSE
1969(42nd),Midnight Cowboy,TRUE
1969(42nd),Anne of the Thousand Days,FALSE
1969(42nd),Butch Cassidy and the Sundance Kid,FALSE
1969(42nd),"Hello, Dolly!",FALSE
1969(42nd),Z,FALSE
1970(43rd),Patton,TRUE
1970(43rd),Airport,FALSE
1970(43rd),Five Easy Pieces,FALSE
1970(43rd),Love Story,FALSE
1970(43rd),M*A*S*H,FALSE
1971(44th),The French Connection,TRUE
1971(44th),A Clockwork Orange,FALSE
1971(44th),Fiddler on the Roof,FALSE
1971(44th),The Last Picture Show,FALSE
1971(44th),Nicholas and Alexandra,FALSE
1972(45th),The Godfather,TRUE
1972(45th),Cabaret,FALSE
1972(45th),Deliverance,FALSE
1972(45th),The Emigrants,FALSE
1972(45th),Sounder,FALSE
1973(46th),The Sting,TRUE
1973(46th),American Graffiti,FALSE
1973(46th),Cries and Whispers,FALSE
1973(46th),The Exorcist,FALSE
1973(46th),A Touch of Class,FALSE
1974(47th),The Godfather Part II,TRUE
1974(47th),Chinatown,FALSE
1974(47th),The Conversation,FALSE
1974(47th),Lenny,FALSE
1974(47th),The Towering Inferno,FALSE
1975(48th),One Flew Over the Cuckoo's Nest,TRUE
1975(48th),Barry Lyndon,FALSE
1975(48th),Dog Day Afternoon,FALSE
1975(48th),Jaws,FALSE
1975(48th),Nashville,FALSE
1976(49th),Rocky,TRUE
1976(49th),All the President's Men,FALSE
1976(49th),Bound for Glory,FALSE
1976(49th),Network,FALSE
1976(49th),Taxi Driver,FALSE
1977(50th),Annie Hall,TRUE
1977(50th),The Goodbye Girl,FALSE
1977(50th),Julia,FALSE
1977(50th),Star Wars,FALSE
1977(50th),The Turning Point,FALSE
1978(51st),The Deer Hunter,TRUE
1978(51st),Coming Home,FALSE
1978(51st),Heaven Can Wait,FALSE
1978(51st),Midnight Express,FALSE
1978(51st),An Unmarried Woman,FALSE
1979(52nd),Kramer vs. Kramer,TRUE
1979(52nd),All That Jazz,FALSE
1979(52nd),Apocalypse Now,FALSE
1979(52nd),Breaking Away,FALSE
1979(52nd),Norma Rae,FALSE
1980(53rd),Ordinary People,TRUE
1980(53rd),Coal Miner's Daughter,FALSE
1980(53rd),The Elephant Man,FALSE
1980(53rd),Raging Bull,FALSE
1980(53rd),Tess,FALSE
1981(54th),Chariots of Fire,TRUE
1981(54th),Atlantic City,FALSE
1981(54th),On Golden Pond,FALSE
1981(54th),Raiders of the Lost Ark,FALSE
1981(54th),Reds,FALSE
1982(55th),Gandhi,TRUE
1982(55th),E.T. the Extra-Terrestrial,FALSE
1982(55th),Missing,FALSE
1982(55th),Tootsie,FALSE
1982(55th),The Verdict,FALSE
1983(56th),Terms of Endearment,TRUE
1983(56th),The Big Chill,FALSE
1983(56th),The Dresser,FALSE
1983(56th),The Right Stuff,FALSE
1983(56th),Tender Mercies,FALSE
1984(57th),Amadeus,TRUE
1984(57th),The Killing Fields,FALSE
1984(57th),A Passage to India,FALSE
1984(57th),Places in the Heart,FALSE
1984(57th),A Soldier's Story,FALSE
1985(58th),Out of Africa,TRUE
1985(58th),The Color Purple,FALSE
1985(58th),Kiss of the Spider Woman,FALSE
1985(58th),Prizzi's Honor,FALSE
1985(58th),Witness,FALSE
1986(59th),Platoon,TRUE
1986(59th),Children of a Lesser God,FALSE
1986(59th),Hannah and Her Sisters,FALSE
1986(59th),The Mission,FALSE
1986(59th),A Room with a View,FALSE
1987(60th),The Last Emperor,TRUE
1987(60th),Broadcast News,FALSE
1987(60th),Fatal Attraction,FALSE
1987(60th),Hope and Glory,FALSE
1987(60th),Moonstruck,FALSE
1988(61st),Rain Man,TRUE
1988(61st),The Accidental Tourist,FALSE
1988(61st),Dangerous Liaisons,FALSE
1988(61st),Mississippi Burning,FALSE
1988(61st),Working Girl,FALSE
1989(62nd),Driving Miss Daisy,TRUE
1989(62nd),Born on the Fourth of July,FALSE
1989(62nd),Dead Poets Society,FALSE
1989(62nd),Field of Dreams,FALSE
1989(62nd),My Left Foot,FALSE
1990(63rd),Dances With Wolves,TRUE
1990(63rd),Awakenings,FALSE
1990(63rd),Ghost,FALSE
1990(63rd),The Godfather Part III,FALSE
1990(63rd),Goodfellas,FALSE
1991(64th),The Silence of the Lambs,TRUE
1991(64th),Beauty and the Beast,FALSE
1991(64th),Bugsy,FALSE
1991(64th),JFK,FALSE
1991(64th),The Prince of Tides,FALSE
1992(65th),Unforgiven,TRUE
1992(65th),The Crying Game,FALSE
1992(65th),A Few Good Men,FALSE
