Year,Nominee,Movie,Winner
1966(39th),Lynn Redgrave,Georgy Girl,False
1966(39th),Vanessa Redgrave,Morgan!,False
1967(40th),Katharine Hepburn ‡,Guess Who's Coming to Dinner,True
1967(40th),Anne Bancroft,The Graduate,False
1967(40th),Faye Dunaway,Bonnie and Clyde,False
1967(40th),Edith Evans,The Whisperers,False
1967(40th),Audrey Hepburn,Wait Until Dark,False
1968(41st),Katharine Hepburn ‡ (TIE),The Lion in Winter,True
1968(41st),Barbra Streisand ‡ (TIE),Funny Girl,True
1968(41st),Patricia Neal,The Subject Was Roses,False
1968(41st),Vanessa Redgrave,Isadora,False
1968(41st),Joanne Woodward,"Rachel, Rachel",False
1969(42nd),Maggie Smith ‡,The Prime of Miss Jean Brodie,True
1969(42nd),Geneviève Bujold,Anne of the Thousand Days,False
1969(42nd),Jane Fonda,"They Shoot Horses, Don't They?",False
1969(42nd),Liza Minnelli,The Sterile Cuckoo,False
1969(42nd),Jean Simmons,The Happy Ending,False
1970(43rd),Glenda Jackson ‡,Women in Love,True
1970(43rd),Jane Alexander,The Great White Hope,False
1970(43rd),Ali MacGraw,Love Story,False
1970(43rd),Sarah Miles,Ryan's Daughter,False
1970(43rd),Carrie Snodgress,Diary of a Mad Housewife,False
1971(44th),Jane Fonda ‡,Klute,True
1971(44th),Julie Christie,McCabe & Mrs. Miller,False
1971(44th),Glenda Jackson,Sunday Bloody Sunday,False
1971(44th),Vanessa Redgrave,"Mary, Queen of Scots",False
1971(44th),Janet Suzman,Nicholas and Alexandra,False
1972(45th),Liza Minnelli ‡,Cabaret,True
1972(45th),Diana Ross,Lady Sings the Blues,False
1972(45th),Maggie Smith,Travels with My Aunt,False
1972(45th),Cicely Tyson,Sounder,False
1972(45th),Liv Ullmann,The Emigrants,False
1973(46th),Glenda Jackson ‡,A Touch of Class,True
1973(46th),Ellen Burstyn,The Exorcist,False
1973(46th),Marsha Mason,Cinderella Liberty,False
1973(46th),Barbra Streisand,The Way We Were,False
1973(46th),Joanne Woodward,"Summer Wishes, Winter Dreams",False
1974(47th),Ellen Burstyn ‡,Alice Doesn't Live Here Anymore,True
1974(47th),Diahann Carroll,Claudine,False
1974(47th),Faye Dunaway,Chinatown,False
1974(47th),Valerie Perrine,Lenny,False
1974(47th),Gena Rowlands,A Woman Under the Influence,False
1975(48th),Louise Fletcher ‡,One Flew Over the Cuckoo's Nest,True
1975(48th),Isabelle Adjani,The Story of Adele H.,False
1975(48th),Ann-Margret,Tommy,False
1975(48th),Glenda Jackson,Hedda,False
1975(48th),Carol Kane,Hester Street,False
1976(49th),Faye Dunaway ‡,Network,True
1976(49th),Marie-Christine Barrault,Cousin Cousine,False
1976(49th),Talia Shire,Rocky,False
1976(49th),Sissy Spacek,Carrie,False
1976(49th),Liv Ullmann,Face to Face,False
1977(50th),Diane Keaton ‡,Annie Hall,True
1977(50th),Anne Bancroft,The Turning Point,False
1977(50th),Jane Fonda,Julia,False
